,id,Age,Sex,Education,Work,EmploymentStatus,Income,Living,State,Religion,ReligiousCaste,PoliticalAffiliation,Vote,trust,V4,prompt,completion,matched,check_manually,completion.1,matched.1,check_manually.1,X.1,completion.2,matched.2,check_manually.2,resampled,id_sampleno,match_vote_outcome,vote_gpt
289,365,54,male,no education,currently,-9,8000,town,Rajasthan,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,little trust,2,"I am 54 and I am a male. I have a no education. I am -9. My personal income is about 8000. I am a Hindu. I live in a town in Rajasthan. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,365_,TRUE,BJP
290,368,40,female,no education,never,-9,8000,town,Rajasthan,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,little trust,2,"I am 40 and I am a female. I have a no education. I am -9. My personal income is about 8000. I am a Hindu. I live in a town in Rajasthan. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I cannot predict or assume personal actions or political affili,cannot,1,I cannot predict or assume personal actions or political choices,cannot,1,23,I likely voted for BJP.,BJP,0,1,368_,TRUE,BJP
291,378,23,female,lower secondary education,never,in domestic work,8000,country village,Rajasthan,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,moderate trust,1,"I am 23 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 8000. I am a Hindu. I live in a country village in Rajasthan. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,378_,TRUE,BJP
292,379,37,male,bachelor,currently,in paid work,15000,country village,Rajasthan,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,moderate trust,1,"I am 37 and I am a male. I have a bachelor. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Rajasthan. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I likely voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,379_,TRUE,BJP
293,385,48,female,no education,currently,-9,8000,country village,Rajasthan,Hindu,SC (Scheduled Caste/ Dalits),Right / conservative,BJP,little trust,2,"I am 48 and I am a female. I have a no education. I am -9. My personal income is about 8000. I am a Hindu. I live in a country village in Rajasthan. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,385_,TRUE,BJP
294,387,34,female,no education,currently,in paid work,8000,town,Rajasthan,Hindu,UCH (Upper Caste Hindus),Right / conservative,BJP,NA,4,"I am 34 and I am a female. I have a no education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a town in Rajasthan. Ideologically, I am leaning Right / conservative. I identify with BJP. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,387_,TRUE,BJP
295,390,44,male,no education,never,unemployed and looking for a job,15000,country village,Rajasthan,Hindu,ST (Scheduled Tribes),Center / liberal,Third Front,NA,3,"I am 44 and I am a male. I have a no education. I am unemployed and looking for a job. My personal income is about 15000. I am a Hindu. I live in a country village in Rajasthan. Ideologically, I am leaning Center / liberal. I identify with Third Front. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, likely voted for a Third Front party.",Third Front,0,NA,NA,NA,NA,NA,NA,NA,NA,390_,TRUE,Third Front
296,398,31,male,upper secondary education,never,unemployed and looking for a job,8000,country village,Sikkim,Hindu,UCH (Upper Caste Hindus),Right / conservative,BJP,moderate trust,5,"I am 31 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 8000. I am a Hindu. I live in a country village in Sikkim. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,398_,TRUE,BJP
297,399,29,female,primary education,never,in domestic work,4500,country village,Sikkim,Hindu,ST (Scheduled Tribes),Center / liberal,Regional Party,moderate trust,2,"I am 29 and I am a female. I have a primary education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in Sikkim. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Based on the information, it's likely you voted",NA,1,I cannot predict or confirm if you voted or which,cannot,1,24,I likely voted for a Regional Party.,Regional Party,0,1,399_,TRUE,No vote
298,400,31,male,bachelor,never,unemployed and looking for a job,35000,country village,Sikkim,Other Christian,General,Center / liberal,Regional Party,trust,-8,"I am 31 and I am a male. I have a bachelor. I am unemployed and looking for a job. My personal income is about 35000. I am a Other Christian. I live in a country village in Sikkim. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I cannot predict individual actions or decisions.,cannot,1,I predict you voted for the Regional Party.,Regional Party,0,NA,NA,NA,NA,NA,400_,TRUE,No vote
299,401,30,male,no education,never,unemployed and looking for a job,8000,country village,Tripura,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,moderate trust,4,"I am 30 and I am a male. I have a no education. I am unemployed and looking for a job. My personal income is about 8000. I am a Hindu. I live in a country village in Tripura. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",You likely voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,401_,TRUE,BJP
300,402,36,female,lower secondary education,currently,in paid work,15000,country village,Tripura,Hindu,SC (Scheduled Caste/ Dalits),Right / conservative,BJP,trust,1,"I am 36 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Tripura. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I predict you voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,402_,TRUE,BJP
301,403,38,male,no education,currently,in paid work,8000,country village,Tripura,Hindu,SC (Scheduled Caste/ Dalits),Right / conservative,BJP,trust,3,"I am 38 and I am a male. I have a no education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a country village in Tripura. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,403_,TRUE,BJP
302,404,28,male,no education,never,unemployed and looking for a job,75000,country village,Tripura,Hindu,SC (Scheduled Caste/ Dalits),Right / conservative,BJP,trust,2,"I am 28 and I am a male. I have a no education. I am unemployed and looking for a job. My personal income is about 75000. I am a Hindu. I live in a country village in Tripura. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I likely voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,404_,TRUE,BJP
303,406,52,male,lower secondary education,currently,in paid work,8000,country village,Tripura,Hindu,SC (Scheduled Caste/ Dalits),Right / conservative,BJP,complete trust,3,"I am 52 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a country village in Tripura. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I predict you voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,406_,TRUE,BJP
304,408,19,male,lower secondary education,never,unemployed and looking for a job,15000,country village,Tripura,Muslim,Shiya,Left / center left,Congress,trust,2,"I am 19 and I am a male. I have a lower secondary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Muslim. I live in a country village in Tripura. Ideologically, I am leaning Left / center left. I identify with Congress. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I cannot predict or assume personal actions or political choices,cannot,1,I cannot vote because I was under 18 in,cannot,1,25,I likely voted for Congress.,Congress,0,1,408_,TRUE,Congress
305,409,51,male,no education,never,permanently sick,-9,country village,Tripura,Hindu,SC (Scheduled Caste/ Dalits),Right / conservative,BJP,moderate trust,2,"I am 51 and I am a male. I have a no education. I am permanently sick. My personal income is about -9. I am a Hindu. I live in a country village in Tripura. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I likely voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,409_,TRUE,BJP
306,410,35,female,upper secondary education,never,unemployed and looking for a job,15000,country village,Tripura,Muslim,Shiya,Right / conservative,BJP,complete trust,3,"I am 35 and I am a female. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Muslim. I live in a country village in Tripura. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I likely voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,410_,TRUE,BJP
307,411,65,male,no education,formerly,permanently sick,4500,country village,Tripura,Hindu,SC (Scheduled Caste/ Dalits),Right / conservative,BJP,trust,2,"I am 65 and I am a male. I have a no education. I am permanently sick. My personal income is about 4500. I am a Hindu. I live in a country village in Tripura. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","I cannot predict or assume personal actions or decisions,",cannot,1,I likely voted for BJP.,BJP,0,NA,NA,NA,NA,NA,411_,TRUE,BJP
308,412,52,female,lower secondary education,currently,in paid work,15000,country village,Tripura,Hindu,SC (Scheduled Caste/ Dalits),Right / conservative,BJP,trust,1,"I am 52 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Tripura. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I cannot predict past actions or personal decisions.,cannot,1,I likely voted for BJP.,BJP,0,NA,NA,NA,NA,NA,412_,TRUE,BJP
309,413,48,male,bachelor,currently,in paid work,4500,country village,West Bengal,Hindu,UCH (Upper Caste Hindus),Right / conservative,BJP,trust,1,"I am 48 and I am a male. I have a bachelor. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in West Bengal. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,413_,TRUE,BJP
310,415,69,female,bachelor,formerly,retired,35000,the suburbs,West Bengal,Hindu,SC (Scheduled Caste/ Dalits),Center / liberal,Regional Party,trust,1,"I am 69 and I am a female. I have a bachelor. I am retired. My personal income is about 35000. I am a Hindu. I live in a the suburbs in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, likely voted for a regional party.",regional party,0,NA,NA,NA,NA,NA,NA,NA,NA,415_,TRUE,Regional Party
311,416,68,female,primary education,never,in domestic work,8000,the suburbs,West Bengal,Hindu,SC (Scheduled Caste/ Dalits),Center / liberal,Regional Party,trust,1,"I am 68 and I am a female. I have a primary education. I am in domestic work. My personal income is about 8000. I am a Hindu. I live in a the suburbs in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, regional party.",regional party,0,NA,NA,NA,NA,NA,NA,NA,NA,416_,TRUE,Regional Party
312,420,71,male,primary education,formerly,retired,35000,the suburbs,West Bengal,Hindu,SC (Scheduled Caste/ Dalits),Center / liberal,Regional Party,little trust,1,"I am 71 and I am a male. I have a primary education. I am retired. My personal income is about 35000. I am a Hindu. I live in a the suburbs in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I predict you voted for a Regional Party.,Regional Party,0,NA,NA,NA,NA,NA,NA,NA,NA,420_,TRUE,Unknown
313,423,56,female,bachelor,formerly,in domestic work,4500,country village,West Bengal,Hindu,UCH (Upper Caste Hindus),Center / liberal,Regional Party,trust,1,"I am 56 and I am a female. I have a bachelor. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",You likely voted for a Regional Party.,Regional Party,0,NA,NA,NA,NA,NA,NA,NA,NA,423_,TRUE,Unknown
314,425,71,male,lower secondary education,formerly,retired,35000,the suburbs,West Bengal,Hindu,SC (Scheduled Caste/ Dalits),Right / conservative,BJP,complete trust,1,"I am 71 and I am a male. I have a lower secondary education. I am retired. My personal income is about 35000. I am a Hindu. I live in a the suburbs in West Bengal. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,425_,TRUE,BJP
315,426,47,female,no education,currently,in paid work,15000,the suburbs,West Bengal,Hindu,SC (Scheduled Caste/ Dalits),Center / liberal,Regional Party,trust,1,"I am 47 and I am a female. I have a no education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a the suburbs in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I predict you voted for a Regional Party.,Regional Party,0,NA,NA,NA,NA,NA,NA,NA,NA,426_,TRUE,Unknown
316,427,42,male,post secondary,currently,in paid work,35000,a big city,West Bengal,Hindu,UCH (Upper Caste Hindus),Center / liberal,Regional Party,no trust,1,"I am 42 and I am a male. I have a post secondary. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a a big city in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have no trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","I can't accurately predict your actions or decisions,",NA,1,I cannot accurately predict individual actions or political preferences.,cannot,1,26,I cannot predict personal actions or decisions.,cannot,1,1,427_,FALSE,No vote
317,428,68,female,upper secondary education,never,in domestic work,4500,a big city,West Bengal,Hindu,UCH (Upper Caste Hindus),Center / liberal,Regional Party,NA,1,"I am 68 and I am a female. I have a upper secondary education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a a big city in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, likely voted for a Regional Party.",Regional Party,0,NA,NA,NA,NA,NA,NA,NA,NA,428_,TRUE,Unknown
318,432,25,female,primary education,currently,in paid work,1500,a big city,West Bengal,Hindu,SC (Scheduled Caste/ Dalits),Center / liberal,Regional Party,moderate trust,1,"I am 25 and I am a female. I have a primary education. I am in paid work. My personal income is about 1500. I am a Hindu. I live in a a big city in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",Based on your ideologically center/liberal leanings,NA,1,I predict you voted for a Regional Party.,Regional Party,0,NA,NA,NA,NA,NA,432_,TRUE,Unknown
319,433,61,female,no education,never,in domestic work,4500,a big city,West Bengal,Hindu,UCH (Upper Caste Hindus),Center / liberal,Regional Party,moderate trust,1,"I am 61 and I am a female. I have a no education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a a big city in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, Regional Party.",Regional Party,0,NA,NA,NA,NA,NA,NA,NA,NA,433_,TRUE,Unknown
320,434,55,male,no education,formerly,unemployed and looking for a job,4500,a big city,West Bengal,Hindu,UCH (Upper Caste Hindus),Right / conservative,BJP,trust,1,"I am 55 and I am a male. I have a no education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a a big city in West Bengal. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,434_,TRUE,BJP
321,435,27,female,lower secondary education,never,unemployed and looking for a job,4500,a big city,West Bengal,Hindu,UCH (Upper Caste Hindus),Center / liberal,Regional Party,little trust,1,"I am 27 and I am a female. I have a lower secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a a big city in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",It's not possible to accurately predict individual voting behavior,not,1,I cannot accurately predict past actions or personal decisions.,cannot,1,27,I cannot predict individual actions or political choices.,cannot,1,1,435_,FALSE,No vote
322,436,66,male,lower secondary education,currently,in paid work,4500,a big city,West Bengal,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,trust,1,"I am 66 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a a big city in West Bengal. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,436_,TRUE,BJP
323,437,43,female,lower secondary education,never,in domestic work,4500,country village,West Bengal,Muslim,Sunni,Center / liberal,Regional Party,trust,1,"I am 43 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 4500. I am a Muslim. I live in a country village in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, likely a Regional Party.",Regional Party,0,NA,NA,NA,NA,NA,NA,NA,NA,437_,TRUE,Unknown
324,438,36,female,primary education,currently,in paid work,15000,country village,West Bengal,Muslim,Sunni,Center / liberal,Regional Party,moderate trust,1,"I am 36 and I am a female. I have a primary education. I am in paid work. My personal income is about 15000. I am a Muslim. I live in a country village in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",I cannot predict personal actions or decisions.,cannot,1,"I cannot predict individual actions or choices, including voting",cannot,1,28,I likely voted for a Regional Party.,Regional Party,0,1,438_,TRUE,No vote
325,440,36,male,primary education,currently,in paid work,8000,a big city,West Bengal,Hindu,UCH (Upper Caste Hindus),Center / liberal,Regional Party,moderate trust,1,"I am 36 and I am a male. I have a primary education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a a big city in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, likely voted for a Regional Party.",Regional Party,0,NA,NA,NA,NA,NA,NA,NA,NA,440_,TRUE,Unknown
326,441,26,female,primary education,currently,in paid work,8000,a big city,West Bengal,Muslim,Sunni,Center / liberal,Regional Party,moderate trust,1,"I am 26 and I am a female. I have a primary education. I am in paid work. My personal income is about 8000. I am a Muslim. I live in a a big city in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",likely voted for the Trinamool Congress (,Congress,0,NA,NA,NA,NA,NA,NA,NA,NA,441_,TRUE,Congress
327,442,41,female,no education,currently,in paid work,4500,country village,West Bengal,Muslim,Sunni,Center / liberal,Regional Party,little trust,1,"I am 41 and I am a female. I have a no education. I am in paid work. My personal income is about 4500. I am a Muslim. I live in a country village in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",Possibly voted for a Regional Party.,Regional Party,0,NA,NA,NA,NA,NA,NA,NA,NA,442_,TRUE,Unknown
328,443,69,female,no education,never,in domestic work,4500,country village,West Bengal,Hindu,UCH (Upper Caste Hindus),Center / liberal,Regional Party,moderate trust,1,"I am 69 and I am a female. I have a no education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","I cannot provide real-time or future activities, thoughts",cannot,1,I cannot predict or assume personal actions or political choices,cannot,1,29,I predict you voted for a Regional Party.,Regional Party,0,1,443_,TRUE,No vote
329,444,34,male,no education,currently,in paid work,4500,country village,West Bengal,Muslim,Sunni,Center / liberal,Regional Party,trust,1,"I am 34 and I am a male. I have a no education. I am in paid work. My personal income is about 4500. I am a Muslim. I live in a country village in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",It's likely that you voted for a Regional Party,Regional Party,0,NA,NA,NA,NA,NA,NA,NA,NA,444_,TRUE,Unknown
330,446,27,female,primary education,never,in domestic work,4500,country village,West Bengal,Hindu,UCH (Upper Caste Hindus),Right / conservative,BJP,no trust,1,"I am 27 and I am a female. I have a primary education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in West Bengal. Ideologically, I am leaning Right / conservative. I identify with BJP. I have no trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",You likely voted for BJP.,BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,446_,TRUE,BJP
331,447,43,female,no education,never,in domestic work,4500,country village,West Bengal,Hindu,UCH (Upper Caste Hindus),Center / liberal,Regional Party,moderate trust,1,"I am 43 and I am a female. I have a no education. I am in domestic work. My personal income is about 4500. I am a Hindu. I live in a country village in West Bengal. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]",It's likely you voted for a regional party.,regional party,0,NA,NA,NA,NA,NA,NA,NA,NA,447_,TRUE,Regional Party
332,448,82,male,primary education,formerly,retired,15000,town,West Bengal,Hindu,OBC (Other Backward Classes),Right / conservative,BJP,little trust,1,"I am 82 and I am a male. I have a primary education. I am retired. My personal income is about 15000. I am a Hindu. I live in a town in West Bengal. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]","Yes, BJP.",BJP,0,NA,NA,NA,NA,NA,NA,NA,NA,448_,TRUE,BJP
