"","lfdn","Age","Sex","Education","Work","EmploymentStatus","Income","Living","State","Religion","ReligiousCaste","PoliticalAffiliation","Vote","trust","V4","V10","Selfplacement","Weight","prompt"
"151",151,27,"male","bachelor","currently","in paid work",1500,"country village","Gujarat","Hindu","ST (Scheduled Tribes)","Right / conservative","BJP","moderate trust",1,2,6,0.53,"I am 27 and I am a male. I have a bachelor. I am in paid work. My personal income is about 1500. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"152",152,52,"male","primary education","currently","in paid work",35000,"country village","Gujarat","Hindu","ST (Scheduled Tribes)","Right / conservative","BJP","moderate trust",2,5,7,1.09,"I am 52 and I am a male. I have a primary education. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"153",153,56,"female","no education","never","in domestic work",-9,"country village","Gujarat","Hindu","ST (Scheduled Tribes)","Right / conservative","BJP",NA,2,5,6,1.24,"I am 56 and I am a female. I have a no education. I am in domestic work. My personal income is about -9. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"154",154,59,"male","no education","never","Other",-9,"country village","Gujarat","Hindu","ST (Scheduled Tribes)","Right / conservative","BJP","moderate trust",2,5,7,1.33,"I am 59 and I am a male. I have a no education. I am Other. My personal income is about -9. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"155",155,35,"male","lower secondary education","currently","in paid work",15000,"country village","Gujarat","Hindu","ST (Scheduled Tribes)","Right / conservative","BJP","moderate trust",1,5,6,0.33,"I am 35 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"156",156,68,"female","no education","never","in domestic work",35000,"country village","Gujarat","Hindu","ST (Scheduled Tribes)","Left / center left","Congress",NA,2,-8,7,1.26,"I am 68 and I am a female. I have a no education. I am in domestic work. My personal income is about 35000. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Left / center left. I identify with Congress. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"157",157,46,"female","upper secondary education","never","in domestic work",15000,"country village","Gujarat","Hindu","ST (Scheduled Tribes)","Left / center left","Congress","moderate trust",2,5,6,0.28,"I am 46 and I am a female. I have a upper secondary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"158",158,52,"female","no education","never","in domestic work",35000,"country village","Gujarat","Hindu","ST (Scheduled Tribes)","Right / conservative","BJP","moderate trust",2,5,6,1.02,"I am 52 and I am a female. I have a no education. I am in domestic work. My personal income is about 35000. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"159",159,56,"female","no education","never","in domestic work",15000,"country village","Gujarat","Hindu","ST (Scheduled Tribes)","Left / center left","Congress","moderate trust",1,3,7,1.72,"I am 56 and I am a female. I have a no education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"160",160,40,"female","no education","never","in domestic work",15000,"country village","Gujarat","Hindu","ST (Scheduled Tribes)","Left / center left","Congress","trust",1,5,8,1.54,"I am 40 and I am a female. I have a no education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Left / center left. I identify with Congress. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"161",161,27,"female","upper secondary education","never","in domestic work",15000,"country village","Gujarat","Muslim","Others","Right / conservative","BJP","moderate trust",2,3,6,0.59,"I am 27 and I am a female. I have a upper secondary education. I am in domestic work. My personal income is about 15000. I am a Muslim. I live in a country village in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"162",162,28,"male","bachelor","currently","in paid work",15000,"country village","Gujarat","Hindu","ST (Scheduled Tribes)","Right / conservative","BJP","trust",1,5,8,0.73,"I am 28 and I am a male. I have a bachelor. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"163",163,78,"male","no education","formerly","retired",35000,"country village","Gujarat","Hindu","ST (Scheduled Tribes)","Left / center left","Congress","trust",2,3,7,1.35,"I am 78 and I am a male. I have a no education. I am retired. My personal income is about 35000. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Left / center left. I identify with Congress. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"164",164,61,"female","no education","never","in domestic work",-9,"country village","Gujarat","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP",NA,2,5,6,1.13,"I am 61 and I am a female. I have a no education. I am in domestic work. My personal income is about -9. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"165",165,38,"female","upper secondary education","never","in domestic work",-9,"country village","Gujarat","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP",NA,1,5,7,0.34,"I am 38 and I am a female. I have a upper secondary education. I am in domestic work. My personal income is about -9. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"166",166,49,"female","primary education","never","in domestic work",35000,"country village","Gujarat","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","moderate trust",2,5,7,1.57,"I am 49 and I am a female. I have a primary education. I am in domestic work. My personal income is about 35000. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"167",167,44,"male","no education","currently","in paid work",35000,"country village","Gujarat","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","trust",2,3,6,1.09,"I am 44 and I am a male. I have a no education. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"168",168,32,"male","bachelor","currently","in paid work",15000,"country village","Gujarat","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","trust",2,3,7,1.13,"I am 32 and I am a male. I have a bachelor. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"169",169,72,"female","no education","never","in domestic work",15000,"country village","Gujarat","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP",NA,2,4,6,2.67,"I am 72 and I am a female. I have a no education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"170",170,27,"female","bachelor","currently","in paid work",15000,"country village","Gujarat","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","moderate trust",1,4,7,1.05,"I am 27 and I am a female. I have a bachelor. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"171",171,27,"male","bachelor","currently","in paid work",15000,"town","Gujarat","Hindu","ST (Scheduled Tribes)","Left / center left","Congress","moderate trust",4,2,6,0.65,"I am 27 and I am a male. I have a bachelor. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Gujarat. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"172",172,41,"male","lower secondary education","currently","in paid work",15000,"town","Gujarat","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","moderate trust",3,4,6,0.27,"I am 41 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"173",173,58,"male","lower secondary education","currently","in paid work",15000,"town","Gujarat","Hindu","UCH (Upper Caste Hindus)","Left / center left","Congress","trust",4,4,7,0.51,"I am 58 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Gujarat. Ideologically, I am leaning Left / center left. I identify with Congress. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"174",174,29,"male","bachelor","currently","in paid work",15000,"town","Gujarat","Hindu","SC (Scheduled Caste/ Dalits)","Other","Other party","trust",4,3,7,0.59,"I am 29 and I am a male. I have a bachelor. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Gujarat. Ideologically, I am leaning Other. I identify with Other party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"175",175,33,"female","bachelor","currently","in paid work",35000,"town","Gujarat","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","trust",4,3,7,0.68,"I am 33 and I am a female. I have a bachelor. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a town in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"176",176,46,"male","upper secondary education","currently","in paid work",35000,"town","Gujarat","Hindu","UCH (Upper Caste Hindus)","Other","Other party","trust",4,3,7,0.3,"I am 46 and I am a male. I have a upper secondary education. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a town in Gujarat. Ideologically, I am leaning Other. I identify with Other party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"177",177,41,"male","bachelor","currently","in paid work",15000,"town","Gujarat","Hindu","SC (Scheduled Caste/ Dalits)","Left / center left","Congress","moderate trust",3,4,8,0.4,"I am 41 and I am a male. I have a bachelor. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Gujarat. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"178",178,41,"female","lower secondary education","never","in domestic work",35000,"town","Gujarat","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","little trust",4,3,7,0.18,"I am 41 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 35000. I am a Hindu. I live in a town in Gujarat. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"179",179,53,"male","lower secondary education","currently","in paid work",15000,"town","Gujarat","Hindu","SC (Scheduled Caste/ Dalits)","Left / center left","Congress","moderate trust",3,3,7,0.24,"I am 53 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Gujarat. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"180",180,33,"male","upper secondary education","currently","apprentice",15000,"country village","Jharkhand","Hindu","ST (Scheduled Tribes)","Right / conservative","BJP","complete trust",1,-8,5,0.48,"I am 33 and I am a male. I have a upper secondary education. I am apprentice. My personal income is about 15000. I am a Hindu. I live in a country village in Jharkhand. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"181",181,29,"female","lower secondary education","never","unemployed and looking for a job",4500,"country village","Jharkhand","Hindu","ST (Scheduled Tribes)","Center / liberal","Regional Party","complete trust",1,1,6,0.33,"I am 29 and I am a female. I have a lower secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Jharkhand. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"182",182,27,"female","primary education","currently","in paid work",4500,"country village","Jharkhand","Hindu","ST (Scheduled Tribes)","Center / liberal","Regional Party","complete trust",1,1,4,1.63,"I am 27 and I am a female. I have a primary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Jharkhand. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"183",183,23,"female","no education","formerly","in domestic work",8000,"country village","Jharkhand","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",1,1,4,4.07,"I am 23 and I am a female. I have a no education. I am in domestic work. My personal income is about 8000. I am a Hindu. I live in a country village in Jharkhand. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"184",184,47,"male","bachelor","currently","apprentice",15000,"country village","Jharkhand","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","complete trust",2,5,7,0.7,"I am 47 and I am a male. I have a bachelor. I am apprentice. My personal income is about 15000. I am a Hindu. I live in a country village in Jharkhand. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"186",186,36,"male","lower secondary education","currently","in paid work",15000,"country village","Jharkhand","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","complete trust",1,1,8,0.51,"I am 36 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Jharkhand. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"187",187,48,"male","lower secondary education","currently","in paid work",15000,"country village","Jharkhand","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",1,1,7,0.34,"I am 48 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Jharkhand. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"190",190,43,"male","no education","currently","in paid work",4500,"country village","Jharkhand","Hindu","ST (Scheduled Tribes)","Center / liberal","Regional Party","complete trust",1,1,3,1.19,"I am 43 and I am a male. I have a no education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Jharkhand. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"192",192,32,"male","upper secondary education","currently","in paid work",8000,"country village","Jharkhand","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",1,1,5,0.4,"I am 32 and I am a male. I have a upper secondary education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a country village in Jharkhand. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"193",193,28,"female","upper secondary education","currently","in paid work",4500,"country village","Jharkhand","Hindu","ST (Scheduled Tribes)","Center / liberal","Regional Party","complete trust",1,-8,5,0.33,"I am 28 and I am a female. I have a upper secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Jharkhand. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"194",194,46,"male","bachelor","currently","apprentice",8000,"country village","Jharkhand","Hindu","ST (Scheduled Tribes)","Right / conservative","BJP","trust",1,5,7,0.33,"I am 46 and I am a male. I have a bachelor. I am apprentice. My personal income is about 8000. I am a Hindu. I live in a country village in Jharkhand. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"197",197,21,"male","upper secondary education","never","unemployed and looking for a job",-9,"country village","Jharkhand","Hindu","ST (Scheduled Tribes)","Right / conservative","BJP","complete trust",1,1,6,0.76,"I am 21 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about -9. I am a Hindu. I live in a country village in Jharkhand. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"198",198,34,"male","lower secondary education","currently","in paid work",4500,"country village","Jharkhand","Other Christian","General","Right / conservative","BJP","complete trust",2,5,6,0.37,"I am 34 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 4500. I am a Other Christian. I live in a country village in Jharkhand. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"199",199,32,"male","lower secondary education","currently","in paid work",4500,"country village","Jharkhand","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",2,1,7,0.4,"I am 32 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Jharkhand. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"201",201,27,"female","no education","currently","in paid work",4500,"country village","Madhya Pradesh","Hindu","SC (Scheduled Caste/ Dalits)","Other","Other party","moderate trust",1,1,4,1.48,"I am 27 and I am a female. I have a no education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a country village in Madhya Pradesh. Ideologically, I am leaning Other. I identify with Other party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"215",215,34,"male","no education","currently","in paid work",4500,"country village","Maharashtra","Buddhist","Others","Right / conservative","BJP","little trust",3,-8,4,2.41,"I am 34 and I am a male. I have a no education. I am in paid work. My personal income is about 4500. I am a Buddhist. I live in a country village in Maharashtra. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"217",217,55,"female","primary education","never","in domestic work",15000,"country village","Maharashtra","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP",NA,2,4,8,2.67,"I am 55 and I am a female. I have a primary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Maharashtra. Ideologically, I am leaning Right / conservative. I identify with BJP. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"218",218,31,"male","lower secondary education","currently","in paid work",8000,"country village","Maharashtra","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","little trust",4,4,8,0.54,"I am 31 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a country village in Maharashtra. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"221",221,31,"female","lower secondary education","never","in domestic work",-9,"town","Maharashtra","Hindu","OBC (Other Backward Classes)","Left / center left","Congress","trust",4,-8,6,0.33,"I am 31 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about -9. I am a Hindu. I live in a town in Maharashtra. Ideologically, I am leaning Left / center left. I identify with Congress. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"222",222,43,"male","lower secondary education","currently","in paid work",15000,"town","Maharashtra","Hindu","ST (Scheduled Tribes)","Right / conservative","BJP","moderate trust",3,-8,10,0.29,"I am 43 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Maharashtra. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"223",223,37,"female","bachelor","currently","in paid work",15000,"town","Maharashtra","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","moderate trust",2,4,9,0.64,"I am 37 and I am a female. I have a bachelor. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a town in Maharashtra. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"224",224,43,"female","primary education","never","in domestic work",15000,"country village","Maharashtra","Hindu","Others","Right / conservative","BJP","little trust",3,3,7,2.13,"I am 43 and I am a female. I have a primary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Maharashtra. Ideologically, I am leaning Right / conservative. I identify with BJP. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"225",225,50,"male","lower secondary education","currently","in paid work",8000,"country village","Maharashtra","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","trust",2,3,5,0.25,"I am 50 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a country village in Maharashtra. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"226",226,31,"male","lower secondary education","currently","in paid work",15000,"country village","Maharashtra","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","moderate trust",3,-8,8,0.56,"I am 31 and I am a male. I have a lower secondary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Maharashtra. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
